,label,news_report
77684,Business,International Business
358623,World,Are euro's heydays over?
358927,World,3 Indian projects shortlisted for Green Oscars
358928,World,5 blasts kill 18 in Iraq
358930,World,Blair gives kiss of life to comatose EU
359555,World,Rumsfeld approved grillings
361992,World,UK scientists gear up for own version that will land on comet
362000,World,New deal on Gaza passage after pullout
362009,World,Teen gets life-term for raping teacher
362011,World,I'm ready for impeachment: Arroyo
362737,World,Murder; arson inquiry opened after 24 die in Moscow blaze
363751,World,Cops gun down suspected bomber
364362,World,US: N Korea obtained N-fuel from Pak
366738,World,Over 60 pc of Chinese dislike Japan: poll
367385,World,Banned scholar to fight terrorism in UK
368236,World,Brits hooked to Indian horse drug
382910,World,Putin welcomes PM at Kremlin
387453,World,The world welcomes the New Year
399828,World,UK top cop becomes the butt of jokes
402898,World,Gunmen blow up Shia mosque north of Baghdad
463252,Sports,Live IND Vs SA
463256,Sports,Rahul dravid at 50
463260,Sports,Team India's Twenty20 initiation today
468368,Sports,Cricket: Atapattu in the reckoning
468369,Sports,Gilchrist points out Aussie chinks
468370,Sports,World Cup defeat always hurts; says Lara
468374,Sports,New challenges for Ireland
468450,Tech,Microsoft software for $3
468451,Tech,Sony game unit cutting jobs
468452,Tech,Virtual life coach calling
468453,Tech,All Tech Fools' Day
468454,Tech,Top 10 security myths
468572,Sports,Cricket: Brian Lara retires
468573,Sports,WI clinch first Super 8s victory
468574,Sports,Odd assortment may head to Bangladesh
468575,Sports,Goal! Messi does a Maradona
468627,Sports,Sachin's flaws
468634,Sports,India and lure of Twenty20 cricket
468635,Sports,TRPs plummet as India brushes aside WC
468636,Sports,Malik wants to emulate Wasim
468637,Sports,AFC pledges $4 million for India
468638,Sports,China to keep 2008 Olympics 'dry'
468640,Sports,Bond saves his best for us: Ponting
468641,Sports,We need to be more consistent: Bashar
468643,Sports,Lara a troubled genius
468644,Sports,Dravid hails Lara's contribution to game
468653,Tech,Best global tech workplaces
468656,Sports,Sachin; Sourav dropped
468657,Sports,Live: Oz elect to bat
468672,Sports,The tragedy of being Lara
468681,Tech,Top 5 Web 2.0 launches
468682,Tech,Now get your clone -- virtually
468692,Sports,Sachin; Sourav dropped from ODIs
468787,Sports,It will take a lot to beat us: Ponting
468819,Sports,Lara seeks farewell with a win over England
468892,Tech,Your buying guide to AV
468893,Tech,MotoStore; now in India
468949,Sports,Selectors; check out Times XI
468991,Sports,Malaysia has F1 until 2015
469012,Sports,Vincent urges Black Caps to strike early
469023,Sports,Pawar wanted best possible team picked: Vengsarkar
469034,Sports,Should Lara stayed longer?
469053,Sports,Harbhajan should learn from Warne; Murali
469089,Sports,'Aiyar openly backed Incheon's bid'
469094,Tech,HP; Sun; Accenture accused of bribing
469095,Tech,Hillary; Immelt to star at IIT meet
469201,Sports,Team India to get foreign coach?
469248,Tech,Internet key in US killing probe
469253,Sports,Younis to miss Abu Dhabi series
469259,Sports,Tiwary raring to be in Bangladesh
469261,Tech,Free lunch for China; Mr Gates?
469265,Tech,New Thunderbird challenges Outlook
469267,Sports,BCCI appoints panel for new coach
469303,Sports,BCCI forms committee to pick new India coach
469312,Sports,It's Lankan flair vs Kiwi method
469375,Sports,Blog: Sachin turns 34
469470,Tech,Microsoft's European woes not over
469473,Sports,Sachin turns 34 with career at cross-roads
469476,Sports,New coach; manager to be appointed for two years: BCCI
469495,Tech,BlackBerry on Windows phones soon
469500,Sports,Live: Sri Lanka elect to bat first against Kiwis
469502,Tech,World's top tech brands
469512,Sports,PCB seeks BCCI help for contracts
469521,Sports,Officials yet to contact Moody; Whatmore
469524,Sports,Chelsea beat Liverpool 1-0
469575,Sports,Manchester United enter final
469695,Tech,Pirated Spider-Man DVDs fake: Sony
469723,Tech,TV giant creates virtual world
469736,Tech,Govt eyes 9 mn broadband lines
469739,Sports,What's wrong in endorsing products; asks Sreesanth
469749,Tech,Govt may invite foreign players for 3G
469752,Sports,Bhavik Gandhi crosses half way mark
469756,Tech,Researchers break Net speed records
469757,Tech,Jobs named in 'options' controversy
469759,Tech,Mobile phones; the new currency
469906,Tech,Free 2 Mbps broadband by 2009
469909,Sports,Ranatunga worried about lower order
469915,Tech,Acer recalls 27;000 laptop batteries
469938,Tech,IT cos need 'Chindia' Strategy: Gartner
469943,Sports,Inzy may be dropped from Test squad: Reports
469957,Tech,A robot that looks like you!
469961,Sports,Moody unlikely to take up Indian job
469964,Tech,CSC buy of Covansys boost for India
470101,Tech,New mobile phones detect motion
470106,Tech,Virus writers exploit Google Adwords
470116,Tech,Vista boost for Microsoft
470160,Tech,$100 laptop to cost $175
470197,Sports,No instructions given to rest sachin; Sourav: Pawar
470238,Sports,Lanka turn to divine intervention to win
470269,Sports,No Indian in Viv's Dream XI
470278,Tech,Barbie sashays into view with MP3
470279,Tech,Shrek 3 goes online before release
470280,Tech,LG to go 'touchy' again
470350,Sports,Rain delays WC final
470401,Sports,2020 Olympics: Rogge backs India's bid
470409,Sports,Unsigned MoU puts Pak-Lanka Abu Dhabi series in doubt
470447,Tech,Cracking the cyberbimbo
470448,Tech,Blogging made easy
470449,Tech,Create the right home-office
470563,Sports,Australia complete World Cup hat-trick
470573,Sports,Chappell's stars cost India WC: Astros
470585,Sports,Lara ahead of Sachin
470755,Tech,'Buy Malaysian; boost Indian' offer
470780,Tech,New toys read brain waves
470791,Tech,Telcos ring in the good times
470799,Sports,Sania slips one spot to 50th
470834,Sports,BCCI threatens no-confidence motion against ICC
470848,Tech,5 innovations that'll change our lives
471050,Tech,Google dolls up custom home pages
471056,Tech,Frequency crunch to delay WiMAX
