Article Title,Article Link,Article Text,Article Summary,Article Image
Congress forms ‘EAGLE’ panel to monitor free and fair elections,https://timesofindia.indiatimes.com/india/congress-forms-eagle-panel-to-monitor-free-and-fair-elections/articleshow/117859917.cms,"The move signals Congress' intent to scrutinize the electoral process closely amid ongoing political tensions.

Focus on

Maharashtra voter list

allegations

Monitoring past and upcoming elections

Congress president Mallikarjun Kharge on Sunday announced the formation of an eight-member committee, the Empowered Action Group of Leaders and Experts (EAGLE), to oversee the Election Commission of India ’s (ECI) handling of elections.The committee, comprising Ajay Maken, Digvijaya Singh, Abhishek Singhvi, Praveen Chakravarty, Pawan Khera, Gurdeep Singh Sappal, Nitin Raut, and Challa Vamshi Chand Reddy, will first investigate alleged voter list manipulation in Maharashtra and submit a report to the party leadership.According to Congress general secretary K C Venugopal , EAGLE will also review past elections in other states and proactively monitor upcoming polls for potential electoral irregularities . The move signals Congress' intent to scrutinize the electoral process closely amid ongoing political tensions .","The move signals Congress' intent to scrutinize the electoral process closely amid ongoing political tensions. The committee, comprising Ajay Maken, Digvijaya Singh, Abhishek Singhvi, Praveen Chakravarty, Pawan Khera, Gurdeep Singh Sappal, and Challa Vamshi Chand Reddy, will first investigate alleged voter list manipulation in Maharashtra. summarize: tensions ..summarized: tensions in the U.S. and Europe. summarize. tensions .summarizing. tensions in Europe and the Middle East. Summarize the tensions in both countries and Europe in general.","https://static.toiimg.com/thumb/msid-117859906,imgsize-97142,width-400,resizemode-4/117859906.jpg"
"6,000 complaints regarding MCC violations in 25 days: Chief Electoral Officer Delhi",https://timesofindia.indiatimes.com/india/6000-complaints-regarding-mcc-violations-in-25-days-chief-electoral-officer-delhi/articleshow/117859519.cms,"R Alice Vaz

Swift action on MCC violations

Election Commission’s role amid allegations

Ensuring voter convenience

With Delhi Assembly elections set for Wednesday, Chief Electoral Officer (CEO) R Alice Vaz revealed that over 6,000 complaints regarding Model Code of Conduct (MCC) violations have been registered in the past 25 days.Vaz emphasized that campaign permissions are granted through an online system without interference. She also highlighted the role of the cVIGIL app , which enables citizens to report violations with photos or videos.The Election Commission mandates that such complaints be addressed within 100 minutes, but the average response time currently stands at 36 minutes.""When MCC came into force, we held meetings with all political parties at the CEO and DEO level. Permissions for campaign meetings must be applied online, and we ensure fairness,"" she told ANI.The statement comes amid allegations from Punjab Chief Minister Bhagwant Mann , who accused authorities of selectively targeting AAP leaders while ignoring BJP leader Parvesh Verma ’s alleged cash distribution. ""Raids are conducted at our residences while Verma openly distributes money without consequences,"" Mann claimed.Vaz also outlined measures taken to facilitate voter participation , including the completion of home voting for 7,552 people, with a 96% turnout.Delhi votes in a single phase on February 5, with counting scheduled for February 8.","Chief Electoral Officer (CEO) R Alice Vaz revealed that over 6,000 complaints regarding Model Code of Conduct (MCC) violations have been registered in the past 25 days. Vaz emphasized that campaign permissions are granted through an online system without interference. She also highlighted the role of the cVIGIL app, which enables citizens to report violations. Vaz also outlined measures taken to facilitate voter participation, including the completion of home voting for 7,552 people, with a 96% turnout.Delhi votes in a single phase on February 5, with counting scheduled for February 8. ""Raids are conducted at our residences while Verma openly distributes money without consequences,"" Mann claimed.","https://static.toiimg.com/thumb/msid-117859743,imgsize-14110,width-400,resizemode-4/117859743.jpg"
Arvind Kejriwal says AAP van attacked; Delhi Police request formal complaint,https://timesofindia.indiatimes.com/india/arvind-kejriwal-says-aap-van-attacked-delhi-police-request-formal-complaint/articleshow/117859387.cms,"NEW DELHI: Delhi Police on Sunday assured Arvind Kejriwal of strict legal action after he posted on X a clip of men seen encircling AAP's campaign van and tearing down the party's posters.The New Delhi DCP, responding to Kejriwal's post, claimed that ""no PCR call or complaint was received in police station"".The top cop assured strict legal action once the formal complaint was registered.""No PCR call or complaint received in police station. It is requested that a formal complaint may be lodged in the Police station and we assure strict legal action,"" the Delhi police said in a reply to the AAP chief's post where he claimed that Union home minister Amit Shah ""was behind the incident"".Members of the Valmiki Samaj and Dalit Mapanchayat, who held a protest against Kejriwal, reportedly attacked AAP's election campaign van passing from there.Reacting to the attack, Kejriwal posted a clip saying: ""See the evidence of Amit Shah's goons' hooliganism in Delhi.""In the clip shared by ex-Delhi CM, the AAP has claimed that two men involved in the incident were close aides of Parvesh Sahib Singh Verma who is contesting from the New Delhi assembly seat against Kejriwal.Meanwhile, AAP MLA and candidate from the Rithala constituency , Mohinder Goyal was attacked during a rally after which he fell unconscious, as per the Delhi Police.Currently, Goyal was rushed to the Ambedkar Hospital in Rohini. The Delhi Police received a PCR call at around 11.15 am today after which the police team reached the spot.""We had received a call that Aam Aadmi Party MLA Mahendra Goyal has been assaulted and he has fallen unconscious,"" police officials told ANIAAP MP Sanjay Singh also accused the BJP of orchestrating the attack.On X, he wrote, ""BJP is losing badly in Delhi and in frustration, it has resorted to violence. AAP MLA @MohinderAAP from Rithala was attacked by BJP goons . Where is the Election Commission sleeping?""The Delhi Assembly elections will take place in a single phase on February 5, with the vote counting scheduled for February 8.","Delhi Police assured Arvind Kejriwal of strict legal action after he posted on X a clip of men seen encircling AAP's campaign van and tearing down the party's posters. The New Delhi DCP, responding to Kejriwal's post, claimed that ""no PCR call or complaint was received in police station"" Aam Aadmi Party candidate from Rithala constituency, Mohinder Goyal was attacked during a rally after which he fell unconscious. AAP has claimed that two men involved in the incident were close aides of Parvesh Sahib Singh Verma who is contesting from the New Delhi assembly seat. summarize: counting scheduled for February 8. Counting will take place at the U.S. Embassy in Kuwait. Counts will be held at the embassy in Kuwait from February 8 to February 11. Countings will be conducted at the Embassy in the Kuwaiti capital, Kuwait.","https://static.toiimg.com/thumb/msid-117859792,imgsize-1320315,width-400,resizemode-4/117859792.jpg"
'Declare Kerala backward if you want funds': Minister's remark sparks controversy,https://timesofindia.indiatimes.com/india/declare-kerala-backward-if-you-want-funds-ministers-remark-sparks-controversy/articleshow/117859467.cms,"NEW DELHI: Union minister George Kurian's remark on Sunday that Kerala should declare itself a backward state to secure better allocations in the Union Budget has ignited a major controversy.Addressing concerns raised by Kerala’s chief minister Pinarayi Vijayan and finance minister K N Balagopal regarding the centre's budget, Kurian said: ""If Kerala announces that it is backward—that it lacks roads and quality education—then the Finance Commission will examine it and report to the central government.If Kerala is behind other states in education, infrastructure, and social welfare, the Centre will allocate funds accordingly.""Kurian’s comments, made to reporters in the national capital, come amid strong criticism of the Union Budget 2025-26 by both the ruling CPI(M) and opposition Congress in Kerala. The two parties accused the central government of overlooking the state’s critical demands.Vijayan, Balagopal, and Leader of Opposition V D Satheesan expressed their disappointment, claiming that key state demands—including a Rs 24,000 crore special financial package and rehabilitation aid for Wayanad—had been ignored in the budget. The trio described the budget as ""condemnable,"" ""extremely disappointing,"" and ""unfortunate.""The CPI(M) quickly responded, condemning both the Union Budget, presented by Finance minister Nirmala Sitharaman, and Kurian’s comments. CPI(M) State Secretary M V Govindan and senior leader E P Jayarajan accused Kurian of adopting an “anti-Kerala” stance in the allocation of funds to the state.The CPI(M) intensified its criticism, alleging that the BJP-led Centre had deliberately sidelined Kerala in the budget, pushing what they termed an “anti-Kerala” agenda. Govindan claimed that despite Kerala’s strong performance in human development, health, and education, the BJP had consistently worked against the state’s interests.“The BJP’s aim is to make Kerala poor and backward. After their failed attempts to tighten their grip on the state, they are now trying to push Kerala backward by denying it the funds it deserves,” Govindan said.Echoing these views, Jayarajan accused the Centre of political discrimination in fund allocations, violating federal principles, and undermining secular values. He called for a united Kerala to protest against Kurian's statement, urging the Centre to recognize India as a united nation where all states are treated equally.“The people of Kerala must unite and protest against the Union minister’s statement that the state must regress in all areas of development to receive central allocations,” Jayarajan said.This criticism follows earlier claims from Kerala’s leadership that the state’s key demands—such as the special financial package and Wayanad rehabilitation aid—were disregarded in the Union Budget.","Kurian’s comments come amid strong criticism of the Union Budget 2025-26 by both the ruling CPI(M) and opposition Congress in Kerala. The two parties accused the central government of overlooking the state's critical demands. Kurian: If Kerala is behind other states in education, infrastructure, and social welfare, the Centre will allocate funds accordingly. The CPI(M) quickly responded, condemning both the Union Budget, presented by Finance minister Nirmala Sitharaman, and Kurian’s comments. Key state demands, including a Rs 24,000 crore special financial package and rehabilitation aid for Wayanad, were ignored in the budget. Jayarajan accused the Centre of political discrimination in fund allocations, violating federal principles, and undermining secular values. He called for a united Kerala to protest against Kurian's statement, urging the Centre to recognize India as a united nation where all states are treated equally.","https://static.toiimg.com/thumb/msid-117859604,imgsize-821642,width-400,resizemode-4/117859604.jpg"
"Union minister Suresh Gopi says 'members of upper castes should handle tribal affairs portfolio', stokes controversy",https://timesofindia.indiatimes.com/india/union-minister-suresh-gopi-says-members-of-upper-castes-should-handle-tribal-affairs-portfolio-stokes-controversy/articleshow/117859290.cms,"NEW DELHI: Union minister of state for petroleum and natural gas Suresh Gopi ignited a controversy by suggesting that the tribal affairs portfolio should be managed by individuals from the "" upper castes .""Addressing a BJP election campaign event in New Delhi on Sunday, the actor-turned-politician contended that meaningful progress in tribal welfare could only be realized if the ministry was led by leaders from ""upper castes"", according to a PTI report.""It's a curse of our country that only a person from the tribal community can be made the minister for tribal affairs,"" said Gopi, who also holds the tourism portfolio. ""It is my dream and expectation that someone from outside the tribal community should be appointed for their welfare. Let a Brahmin or a Naidu take charge—there would be significant change. Likewise, tribal leaders should be given the portfolio for the welfare of forward communities.""He further said that such a change should occur within the democratic system and revealed that he had personally requested Prime Minister Narendra Modi to allocate the tribal affairs ministry to him. However, he acknowledged that ""certain precedents"" governed portfolio allocations.Currently, BJP leader Jual Oram, a well-known tribal leader from Odisha, heads the ministry of tribal affairs in the Modi-led cabinet.Gopi’s remarks have drawn strong criticism across Kerala, particularly from opposition parties and tribal leaders. CPI state secretary Benoy Viswam condemned the minister’s statements, labeling him a ""piper of the chaturvarna"" ( caste system ) and demanding his removal from the Union ministry.Viswam also called for the resignation of union minister of state George Kurian, accusing him of undermining federal principles and insulting Kerala. Kurian had earlier suggested that Kerala should declare itself backward in education, infrastructure, and social welfare to receive more funds from the Centre.""These two ministers are living examples of the challenges facing the Indian Constitution under the RSS-led BJP regime,"" Viswam said, urging the President, as the custodian of the Constitution, to take the matter seriously. He also demanded that the BJP clarify its stance on what he termed as anti-tribal and anti-Kerala statements by the ministers.Prominent tribal leader CK Janu also denounced Gopi’s comments, calling them ""low-class"" and reflective of his lack of understanding of tribal issues.","Union minister of state for petroleum and natural gas Suresh Gopi ignited a controversy by suggesting that the tribal affairs portfolio should be managed by individuals from the "" upper castes ."" Addressing a BJP election campaign event in New Delhi on Sunday, the actor-turned-politician contended that meaningful progress in tribal welfare could only be realized if the ministry was led by leaders from ""upper castes"" Currently, BJP leader Jual Oram, a well-known tribal leader from Odisha, heads the ministry of tribal affairs in the Modi-led cabinet. Gopi’s remarks have drawn strong criticism across Kerala, particularly from opposition parties and tribal leaders. Tribal leader CK Janu also denounced Gopi’s comments, calling them ""low-class"" Viswam urged the President, as the custodian of the Constitution, to take the matter seriously. He also demanded that the BJP clarify its stance on what he termed as anti-tribal and anti-Kerala statements.","https://static.toiimg.com/thumb/msid-117859512,imgsize-756096,width-400,resizemode-4/117859512.jpg"
'Unblemished track record': FM Sitharaman on why Moody's has not changed India's ranking,https://timesofindia.indiatimes.com/india/unblemished-track-record-fm-sitharaman-on-why-moodys-has-not-changed-indias-ranking/articleshow/117859152.cms,"Also read:

Moody’s maintains India’s rating



Also read:

Government’s debt management plan

Capital expenditure and growth focus

NEW DELHI: Finance minister Nirmala Sitharaman on Sunday cited India’s “unblemished track record” of fiscal consolidation , even as credit rating agency Moody’s decided not to upgrade the country’s sovereign rating.Sitharaman said that India has never deviated from its fiscal consolidation and debt reduction targets.She also defended the government’s strategy of balancing fiscal prudence with growth, highlighting tax reliefs and a clear debt management plan outlined in the Union Budget for 2024-25.""Despite all these we have shown a commitment and following the commitment to the last word as regards fiscal deficit and the glide path that we should follow,"" Sitharaman said. ""We have, not one year have we failed (to meet our commitment).""Global credit rating agency Moody’s has maintained India’s sovereign rating at “Baa3” with a stable outlook, the lowest investment-grade rating. The agency ruled out an immediate upgrade, citing concerns over the country’s debt burden and fiscal deficit levels.""While we view the government's sustained fiscal discipline and narrower fiscal deficits as credit positive, we don't expect these improvements in the debt burden or 'debt affordability' to be enough to trigger a sovereign rating upgrade at this time,"" Christian de Guzman, Senior Vice President at Moody’s Ratings, told PTI.Moody’s evaluates a country’s creditworthiness, assessing its ability to repay debt. A higher rating generally translates to lower borrowing costs and increased investor confidence, while a lower rating signals higher risks.Sitharaman stressed that India had to borrow more during the Covid-19 pandemic due to global supply chain disruptions and geopolitical conflicts but has remained committed to reducing debt levels.""The government has volunteered to say that it will manage the debt,"" she said, adding that India has been steadily working towards reducing the debt-to-GDP ratio in line with expert recommendations.She also highlighted that while focusing on fiscal discipline, there has been no reduction in public spending on essential sectors such as social welfare, education, and healthcare.She defended the government’s approach to capital expenditure , which has been pegged at Rs11.21 lakh crore for 2024-25, a modest increase from Rs 10.18 lakh crore in the revised estimate for the current fiscal year.""If we are looking at the numbers, because we've got used to 16 per cent, 17 per cent increase (in capital spending) every year from 2020, and saying you have not increased it by that number (in the Budget for 2025-26), I would equally want to ask you to please look at the way in which the quality of spending has happened, particularly capital expenditure,"" she stated.Sitharaman also praised states for effectively utilising the 50-year interest-free loans provided for capital expenditure, contributing to overall infrastructure growth.The spending for the ongoing fiscal was lower than initially budgeted due to a slowdown in expenditure during the general election period. However, Sitharaman remains confident in the government’s strategy of balancing fiscal responsibility with economic expansion.","Sitharaman said that India has never deviated from its fiscal consolidation and debt reduction targets. She also defended the government’s strategy of balancing fiscal prudence with growth, highlighting tax reliefs and a clear debt management plan outlined in the Union Budget. The agency ruled out an immediate upgrade, citing concerns over the country’s debt burden and fiscal deficit levels. ""We don't expect these improvements in the debt burden or 'debt affordability' to be enough to trigger a sovereign rating upgrade at this time,"" said Christian de Guzman, Senior Vice President at Moody's Ratings. Sitharaman defended the government’s approach to capital expenditure. Capital expenditure has been pegged at Rs11.21 lakh crore for 2024-25, a modest increase from Rs 10.18 lakh crore in the revised estimate for the current fiscal year. For the ongoing fiscal was lower than initially budgeted due to a slowdown in expenditure during the general election period. However, Sitharaman remains confident in the government’s strategy of balancing fiscal responsibility with economic expansion. She said the government is committed to fiscal responsibility and economic growth.","https://static.toiimg.com/thumb/msid-117859242,imgsize-743356,width-400,resizemode-4/117859242.jpg"
'Shop of hollow promises about to shut down': Uttarakhand CM slams AAP and Congress ahead of Delhi polls,https://timesofindia.indiatimes.com/india/shop-of-hollow-promises-about-to-shut-down-uttarakhand-cm-slams-aap-and-congress-ahead-of-delhi-polls/articleshow/117858906.cms,"NEW DELHI: Uttarakhand chief minister Pushkar Singh Dhami accused AAP of corruption and misgovernance , asserting that the people of Delhi are now eager for a change and ready to establish a ""double-engine"" BJP government.CM Dhami campaigned in Bawana on Sunday in support of BJP candidate Ravindra Kumar and later held public outreach programs in Uttam Nagar, rallying support for BJP candidate Pawan Sharma.Urging Delhiites to give BJP a decisive mandate, Dhami attacked the ruling AAP and the Congress, saying, ""The shop of hollow promises and deceiving the public is about to shut down.""Dhami also campaigned for BJP candidate Sandeep Sehrawat in Matiala, where he intensified his criticism of AAP and Congress. ""The nationalist people of Delhi have recognized the real face of AAP. Both AAP and Congress are partners in corruption, appeasement, and opposition to Sanatan. I am confident that the public will ensure BJP’s victory by making such parties forfeit their deposits,"" he said.Highlighting BJP’s achievements, Dhami noted that Uttarakhand had become the first state in India to implement the Uniform Civil Code (UCC), signaling the party’s commitment to governance reforms. He also spoke on the construction of the Ram Temple in Ayodhya, highlighting the sacrifices of kar sevaks and hailing Prime Minister Narendra Modi for fulfilling the long-standing demand.On the issue of the Yamuna river, CM Dhami criticised Delhi chief minister Arvind Kejriwal , alleging that he had misled the public with false claims about the river’s cleanliness. ""Arvind Kejriwal has only used the Yamuna issue for political gains. He has been constantly lying about it, and this time, the public has understood his deception,"" Dhami said.He further contrasted the BJP’s governance in Uttarakhand with AAP’s administration in Delhi, asserting that while the ""double-engine government"" had ensured holistic development in Uttarakhand, Delhi continued to struggle due to AAP’s alleged corruption and appeasement politics.The Delhi Assembly elections, set to be held on February 5, will see voters elect representatives for 70 constituencies. The counting of votes is scheduled for February 8.","Pushkar Singh Dhami accused AAP of corruption and misgovernance. He said people of Delhi are now eager for a change and ready to establish a ""double-engine"" BJP government. ""The shop of hollow promises and deceiving the public is about to shut down,"" he said. Dhami noted that Uttarakhand had become the first state in India to implement the Uniform Civil Code (UCC) He also spoke on the construction of the Ram Temple in Ayodhya, highlighting the sacrifices of kar sevaks and hailing Prime Minister Narendra Modi. Delhi Assembly elections will be held on February 5. Voters will elect representatives for 70 constituencies. The counting of votes is scheduled for February 8. The results will be announced on February 14. The election will be followed by a postal ballot on February 15.","https://static.toiimg.com/thumb/msid-117859047,imgsize-969488,width-400,resizemode-4/117859047.jpg"
Security tightened for first Amrit snan after Maha Kumbh stampede,https://timesofindia.indiatimes.com/india/security-tightened-for-first-amrit-snan-after-maha-kumbh-stampede/articleshow/117847333.cms,"Poll What Do You Find Most Inspiring About Maha Kumbh? The Grand Gathering of Devotees From Around the World Its Deep Spiritual and Cultural Significance

PRAYAGRAJ: Authorities intensified security and crowd management efforts to prevent overcrowding at the ghats, as an estimated 4 to 5 crore devotees are expected to participate in Basant Panchami sacred bathing ritual this Sunday - the third Amrit Snan of the 45-day Maha Kumbh.More than 7 crore pilgrims had thronged Prayagraj for Mauni Amavasya Amrit Snan on Jan 29, which turned tragic as 30 people lost their lives and many were injured in a stampede.Police introduced Saturday fresh measures to regulate the movement of pilgrims, devising a strict route plan. Devotees will enter mela area through Kali Sadak and exit via Triveni Marg. Security personnel will be on maximum alert at both entry and exit points. Given the high influx of pilgrims, paramilitary personnel have been stationed at strategic points to assist in crowd control. Authorities have implemented a one-way system within the mela premises and reinforced barricades to prevent congestion after the stampede.Emphasis is being placed to ensure that devotees take their dip at all 44 ghats, preventing congestion at Sangam Nose. ""We are appealing to devotees to leave the ghats after taking the holy dip,"" said SSP Rajesh Dwivedi. The Basant Panchami tithi will begin at 9.14am Sunday and continue until 6.52pm Monday.","An estimated 4 to 5 crore devotees are expected to participate in Basant Panchami sacred bathing ritual this Sunday. More than 7 crore pilgrims had thronged Prayagraj for Mauni Amavasya Amrit Snan on Jan 29. 30 people lost their lives and many were injured in a stampede. Emphasis is being placed to ensure that devotees take their dip at all 44 ghats, preventing congestion at Sangam Nose. The Basant Panchami tithi will begin at 9.14am Sunday and continue until 6.52pm Monday. have implemented a one-way system within the mela premises and reinforced barricades to prevent congestion after the stampede.","https://static.toiimg.com/thumb/msid-117847427,imgsize-85674,width-400,resizemode-4/117847427.jpg"
"'I pray to Lakshmi to bless poor, middle class': PM Modi on Budget",https://timesofindia.indiatimes.com/india/i-pray-to-lakshmi-to-bless-poor-middle-class-pm-modi-on-budget/articleshow/117804379.cms,"Poll Which Aspect of Union Budget 2025 Matters the Most to You? Economic Growth and Job Opportunities Tax Exemptions and Rebates

Many in govt feel affection of middle class and poor should be reciprocated

NEW DELHI: PM Modi on Friday sought ""special blessings"" of Goddess Lakshmi for the middle class and poor, fuelling expectations that finance minister Nirmala Sitharaman may give relief to taxpayers and announce more welfare measures for the needy.""Today, at the beginning of the Budget session, I bow to Lakshmi, the goddess of prosperity. And on such occasions, for centuries, we have been remembering (her) virtues.Ma Lakshmi gives us success and wisdom, prosperity and well-being. I pray to (her) that every poor and middle-class community of the country should be blessed..."" Modi said.The hope of Sitharaman announcing such special measures was raised afterwards by President Droupadi Murmu in her address to a joint sitting of Parliament. ""The economic progress of a nation like India is defined by the aspirations of the middle class and fulfilment of those aspirations,"" she said.The bigger the dreams of the middle class, the higher the nation soars. It is my govt that has, for the first time, openly acknowledged and appreciated contributions of the middle class on every occasion,"" President Droupadi Murmu said as she listed welfare measures taken by Modi govt since 2014. The President's address is seen as a declaration of govt's intent.The middle class and a chunk of the poor have largely stood by Modi. Although his govt, as Murmu stressed, has reduced the tax burden and has also widened and deepened the welfare net, there seems to be a feeling in govt that the affection of the two constituencies needed to be reciprocated. This ties in with the opinion of many economists that relief to the middle and new-middle classes will help govt's effort to accelerate growth by boosting consumption.Murmu flagged the recent decision to constitute 8th Pay Commission for central govt employees.""Govt employees are significant representatives of the middle class. So, this decision will lay the foundation for substantial salary increases for govt employees in the coming years,"" she said.""Centre has decided to provide 50% assured pension to lakhs of employees under Unified Pension Scheme, which is widely welcomed. My govt is committed to fulfilling the middle class's dream of owning a home. Laws like RERA have been introduced to safeguard their dreams. Subsidies on home loans are being provided,"" she added. Murmu said through the UDAN scheme, about 1.5 crore people had fulfilled their dream of flying.","PM Modi seeks ""special blessings"" of Goddess Lakshmi for the middle class and poor. Hopes that finance minister Nirmala Sitharaman may give relief to taxpayers and announce more welfare measures for the needy. ""The economic progress of a nation like India is defined by the poor,"" says President Droupadi Murmu. The President's address is seen as a declaration of govt's intent. The middle class and a chunk of the poor have largely stood by Modi. There seems to be a feeling in govt that the affection of the two constituencies needed to be reciprocated. Centre has decided to provide 50% assured pension to lakhs of employees under Unified Pension Scheme. Murmu said through the UDAN scheme, about 1.5 crore people had fulfilled their dream of flying. My govt is committed to fulfilling the middle class's dream of owning a home. Laws like RERA have been introduced to safeguard their dreams.","https://static.toiimg.com/thumb/msid-117804492,imgsize-15690,width-400,resizemode-4/117804492.jpg"
Delhi elections: 8 AAP MLAs join BJP days before polls,https://timesofindia.indiatimes.com/india/delhi-elections-8-aap-mlas-join-bjp-days-before-polls/articleshow/117832418.cms,"8 AAP MLAs join BJP

Poll What Is Most Important to You in an Election? Party Policies and Track Record Leadership Qualities and Integrity

NEW DELHI: Eight Aam Aadmi Party MLAs on Saturday joined the Bharatiya Janata Party , a day after resigning from AAP, dealing a fresh blow to the party as it gears up for the February 5 elections.The resignations came after the legislators were denied tickets to contest the upcoming elections.In their resignation letters, they accused AAP of straying from its founding ideals of transparency and corruption-free governance.They alleged the party had become centralised, opaque, and lacking internal democracy .Among those who resigned were Naresh Yadav (Mehrauli), Rohit Kumar (Trilokpuri), Madan Lal (Kasturba Nagar), Rajesh Rishi (Janakpuri), Bhavna Gaud (Palam), Bhupinder Singh Joon (Bijwasan), Pawan Kumar Sharma (Adarsh Nagar), and Girish Soni (Madipur).Madan Lal and Bhavna Gaud stated they had ""lost faith"" in AAP and its leader Arvind Kejriwal . Rohit Kumar, who represented the Dalit-dominated Trilokpuri constituency, accused AAP of exploiting the Dalit/Valmiki community for votes while failing to deliver on promises, such as ending contractual employment and regularising temporary workers.Naresh Yadav, once a strong supporter of AAP’s rise to power, expressed disappointment over the suppression of internal voices, while Rajesh Rishi accused the party of abandoning its commitment to transparency and accountability.Pawan Kumar Sharma, resigning from Adarsh Nagar, said, ""The party has deviated from the honest ideology on which it was formed. I am deeply saddened by AAP’s current state.""Bhupinder Singh Joon also cited a ""significant deviation"" from AAP’s original values, stating that the party, once envisioned as a people-centric movement against corruption, had become increasingly autocratic.The high-profile exits come at a crucial time for AAP, which is locked in a fierce electoral battle with the BJP. The Delhi Assembly elections will be held on February 5, with votes set to be counted on February 8.","Eight Aam Aadmi Party MLAs on Saturday joined the Bharatiya Janata Party. The resignations came after the legislators were denied tickets to contest the upcoming elections. They accused AAP of straying from its founding ideals of transparency and corruption-free governance. Pawan Kumar Sharma, resigning from Adarsh Nagar, said, ""The party has deviated from the honest ideology on which it was formed"" Bhupinder Singh Joon said that the party, once envisioned as a people-centric movement against corruption, had become increasingly autocratic. Votes will be counted on February 8, with the results to be announced on February 11. The first results will be announced at 8 p.m. on February 5. The second results are expected on February 6. The third and final results are scheduled for February 7.","https://static.toiimg.com/thumb/msid-117832920,imgsize-968421,width-400,resizemode-4/117832920.jpg"
